id,label,latitude,longitude,stoa_id,,"Note: id can vary, but sort by label for lookup!"
135,Tyndaris,38.14272495,15.0445609,462527,,
136,Upper Baetis,36.783,-6.35,-,,
137,Veii,42.021338,12.390519,423116,,
138,Vellica,43.5,-4.5,236403,,
139,Vercellae,45.321094,8.426374,383815,,
140,Vesuvius,40.8228645,14.4280779,433189,,
141,Zama,36.1118585,9.285729,315267,,
142,Zela,40.304617,35.89152015,857382,,
143,,,,,,
144,,,,,,
