id,warId,year,yearAU,relativeYear,label,locationLabel,latitude,longitude,stoaId,currentCountry,outcome,civil,naval,siege,sack,final,period,,Missing
61,,-212,541,298,Battle of Herdonia,Herdonia,41.3107496,15.6237042,442613,,L,,,,,,R,,
62,,-212,541,298,Battle of the Silarus,Silarus,40.5365504,15.0311303,442795,,L,,,,,,R,,
63,,-211,542,299,Second Battle of Capua,Capua,41.0860925,14.250207,432754,,W,,,,,,R,,
64,,-211,542,299,Battle of the Upper Baetis,Upper Baetis,36.783,-6.35,-,,L,,,,,,R,,
65,,-210,543,300,Second Battle of Herdonia,Herdonia,41.3107496,15.6237042,442613,,L,,,,,,R,,
66,,-210,543,300,Battle of Numistro,Numistro,40.753576,15.486709,442693,,L,,,,,,R,,
67,,-209,544,301,Battle of Asculum,Asculum,42.855397,13.574951,413036,,L,,,,,,R,,
68,,-209,544,301,Battle of Baecula,Baecula,38.095872,-3.774889,265814,,W,,,,,,R,,
69,,-207,546,303,Battle of Carmona,Carmona,37.4703045,-5.6464685,256058,,W,,,,,,R,,
70,,-207,546,303,Battle of Grumentum,Grumentum,40.284832,15.9062905,442603,,,,,,,,R,,
71,,-207,546,303,Battle of the Metaurus,Metaurus,43.688683,12.6583754,413199,,W,,,,,,R,,
72,,-206,547,304,Battle of Carteia,Carteia,36.183163,-5.410359,256063,,W,,y,,,,R,,
73,,-206,547,304,Battle of the Guadalquivir,Guadalquivir,36.8273903,-6.3455489,256263,,W,,,,,,R,,
74,,-206,547,304,Battle of Ilipa,Ilipa,37.518215,-5.978254,256222,,W,,,,,,R,,
75,,-204,549,306,Battle of Crotona,Crotona,39.0811675,17.127966,452317,,,,,,,,R,,
76,,-203,550,307,Battle of Bagbrades,Bagbrades,37.057944,10.0625972,-,,W,,,,,,R,,
77,,-202,551,308,Battle of Zama,Zama,36.1118585,9.285729,315267,,W,,,,,,R,,
78,,-200,553,310,Battle of Cremona,Cremona,45.133639,10.026149,383628,,W,,,,,,R,,
79,,-198,555,312,Battle of the Aous,Aous,40.6125045,19.4812849,481726,,W,,,,,,R,,
80,,-197,556,313,Battle of Cynoscephalae,Cynoscephalae,39.378033,22.415199,540719,,W,,,,,,R,,
81,,-194,559,316,Battle of Gythium,Gythium,36.7600725,22.5626005,570268,,W,,,,,,R,,
82,,-194,559,316,Battle of Placentia,Placentia,45.0525855,9.6976645,383741,,W,,,,,,R,,
83,,-193,560,317,Battle of Mutina,Mutina,44.647057,10.925223,383715,,W,,,,,,R,,
84,,-191,562,319,Battle of Thermopylae,Thermopylae,38.796,22.543644,541140,,W,,,,,,R,,
85,,-190,563,320,Battle of the Eurymedon,Eurymedon,37.1968531,31.1815439,638836,,W,,y,,,,R,,
86,,-190,563,320,Battle of Magnesia,Magnesia,38.541317,27.4873015,550706,,W,,,,,,R,,
87,,-190,563,320,Battle of Myonessus,Myonessus,38.1721,26.7907,-,,W,,y,,,,R,,
88,,-189,564,321,Battle of Ancyra,Ancyra,39.96282667,32.81975567,619103,,W,,,,,,R,,
89,,-189,564,321,Battle of Mount Olympus,Mount Olympus,40.06667,29.21667,511343,,W,,,,,,R,,
90,,-181,572,329,Battle of Manlian Pass,Manlian Pass,40.321049,-2.8937871,246322,,W,,,,,,R,,
91,,-171,582,339,Battle of Callicinus,Callicinus,39.632098,22.419935,-,,L,,,,,,R,,
92,,-168,585,342,Battle of Pydna,Port of Carthage,36.8456504,10.3248036,836358555,,W,,,,,,R,,
93,,-148,605,362,Second Battle of Pydna,Pydna,40.25,22.75,491704,,W,,,,,,R,,
94,,-147,606,363,Battle of the Port of Carthage,Carthage,36.8500325,10.318,314921,,L,,,,,,R,,
95,,-147,606,363,Battle of Nepheris,Nepheris,36.615106,10.383068,315094,,W,,,,,,R,,
96,,-146,607,364,Battle of Carthage,Carthage,36.8500325,10.318,314921,,W,,,,,,R,,
97,,-146,607,364,Battle of Corinth,Corinth,37.90082115,22.89573724,570182,,W,,,,,,R,,
98,,-134,619,376,Siege of Numantia,Numantia,41.80938824,-2.444333385,246523,,W,,,y,,,R,,
99,,-112,641,398,Battle of Noreia,Noreia,47.013808,14.526732,197411,,L,,,,,,R,,
100,,-109,644,401,Battle of the Rhone River,Rhone River,,,-,,L,,,,,,R,,
101,,-108,645,402,Battle of Muthul,Muthul,36.25,8.75,315086,,,,,,,,R,,
102,,-107,646,403,Battle of Burdigala,Burdigala,44.837205,-0.576533,138248,,L,,,,,,R,,
103,,-105,648,405,Battle of Arausio,Arausio,44.1367875,4.8079175,148054,,L,,,,,,R,,
104,,-102,651,408,Battle of Aquae Sextiae,Aquae Sextiae,45.68907973,5.9154928,167650,,W,,,,,,R,,
105,,-101,652,409,Battle of Vercellae,Vercellae,45.321094,8.426374,383815,,W,,,,,,R,,
106,,-89,664,421,Battle of Asculum,Asculum,42.855397,13.574951,413036,,W,,,,,,R,,
107,,-89,664,421,Battle of Fucin Lake,Fucin Lake,41.995,13.547222,432853,,L,,,,,,R,,
108,,-87,666,423,Siege of Athens,Athens,37.97281915,23.72374385,579885,,W,,,y,,,R,,
109,,-86,667,424,Battle of Chaeronea,Chaeronea,38.495182,22.8434315,540701,,W,,,,,,R,,
110,,-86,667,424,Battle of Orchomenus,Orchomenus,38.49457533,22.978315,540987,,W,,,,,,R,,
111,,-83,670,427,Battle of Mount Tifata,Mount Tifata,41.25,14.25,433153,,C,y,,,,,R,,
112,,-82,671,428,Battle of the Asio River,Asio River,43.55905465,13.2253118,413003,,C,y,,,,,R,,
113,,-82,671,428,Battle of Clusium,Clusium,43.016367,11.9487025,413096,,C,y,,,,,R,,
114,,-82,671,428,Second Battle of Clusium,Clusium,43.016367,11.9487025,413096,,C,y,,,,,R,,
115,,-82,671,428,Battle of Colline Gate,Colline Gate,41.907339,12.498714,-,,C,y,,,,,R,,
116,,-82,671,428,Battle of Faventia,Faventia,44.286236,11.883507,393420,,C,y,,,,,R,,
117,,-82,671,428,Battle of Fidentia,Fidentia,44.865109,10.061732,383648,,C,y,,,,,R,,
118,,-82,671,428,Battle of Halys,Halys,41.6767598,35.9295291,857148,,L,,,,,,R,,
119,,-82,671,428,Battle of Sacriporto,Sacriporto,41.875,12.375,208591878,,C,y,,,,,R,,
120,,-80,673,430,Battle of the Baetis River,Baetis River,37.969207,-2.910335,256009,,L,,,,,,R,,
121,,-73,680,437,Battle of Cyzicus,Cyzicus,40.3855645,27.883191,511218,,W,,,,,,R,,
